交易日期,多方＿自營商＿交易口數,多方＿投信＿交易口數,多方＿外資＿交易口數,空方＿自營商＿交易口數,空方＿投信＿交易口數,空方＿外資＿交易口數,多方＿自營商＿未平倉口數,多方＿投信＿未平倉口數,多方＿外資＿未平倉口數,空方＿自營商＿未平倉口數,空方＿投信＿未平倉口數,空方＿外資＿未平倉口數,融資(張),融券(張)
2016/3/14,24005,5277,45902,23598,5019,51342,9781,2746,53585,7492,16686,19630,3749,3788
2016/3/15,37919,5864,74421,39256,6939,73838,9976,2842,56632,9127,17986,22121,3657,3775
2016/3/16,24075,903,40472,26381,1627,33111,3952,2407,52747,9366,18425,11020,3556,3764
2016/3/17,26227,433,44979,24619,1790,45676,4965,2315,52898,8676,19747,11787,3414,3747
2016/3/18,17512,175,32603,16712,464,32780,5801,2236,52873,8675,19926,11930,3467,3740
2016/3/21,18310,353,30004,16596,781,31922,6432,2112,53297,7626,20231,13836,3469,3682
2016/3/22,21004,504,39545,22156,1143,34592,6425,2094,57969,8760,20845,13150,3493,3663
2016/3/23,22755,384,35983,24071,1015,35504,4988,1962,57632,8874,21378,12310,3446,3588
2016/3/24,23399,322,40179,22771,591,38801,5562,1903,57575,8835,21578,11029,3455,3547
2016/3/25,18140,149,22561,17350,476,23569,6066,1926,56855,8478,21948,11296,3426,3383
2016/3/28,15127,138,27777,15785,472,28404,5605,1888,56597,8675,22263,11757,3403,2963
2016/3/29,24112,795,41408,25921,1274,42966,5814,1994,57747,10663,22927,14644,3373,3010
2016/3/30,27624,525,43581,27485,684,33481,5434,2044,65493,10190,23061,11820,3134,3073
2016/3/31,24128,432,43424,23724,1739,48484,5476,1747,61021,9799,24113,12406,3208,2896
2016/4/1,27233,595,44744,25766,920,47318,6400,1694,59968,9252,24447,13561,3342,2884
2016/4/6,31143,602,44786,30998,1265,52690,6508,1490,57373,9228,25096,18669,3622,2908
2016/4/7,23361,1136,44585,24556,357,40822,6269,1504,60068,10141,24331,17584,3720,2952
2016/4/8,20507,433,40772,19632,384,37274,6729,1593,61977,9663,24275,16238,3588,2864
2016/4/11,19234,419,39030,19882,416,36380,6585,1524,64737,10125,24159,16468,3524,2880
2016/4/12,23993,298,43218,23722,632,42786,6735,1471,65554,9997,24440,16668,3478,2890
2016/4/13,32781,1965,44425,30824,2663,41618,8742,1348,68473,10143,24971,16807,3141,2814
2016/4/14,22186,2312,30970,19730,2609,35527,11585,1318,66428,10487,25251,19217,3097,2798
2016/4/15,22168,2964,44828,22728,3290,42357,12244,1390,68815,11654,25530,19088,2877,2813
